bytes_sent,bytes_recv,duration,src_port,dst_port,protocol
12021.043019829973,10077.989472761474,3.610187925344575,18816,80,UDP
11680.948279122267,9341.840628598562,6.86284815936923,37475,22,TCP
11923.804999371274,1222.6345647777296,1.7745989678933272,4036,8080,TCP
1398.9714492579162,11346.08661042317,46.040054660590876,10438,80,ICMP
432.1869984918851,3597.7299229435093,37.79713150997377,37558,22,TCP
7263.302578530754,21459.428970965913,13.044772768431395,33908,8080,TCP
7049.803471287868,14792.058210458112,32.50660518485697,43138,8080,UDP
15621.479782747487,5778.621513133467,66.83630521697664,8341,80,TCP
396.4709859175455,7490.14113031875,5.644552486538531,56108,8080,ICMP
5232.804232715822,1133.353655446996,14.26682164877269,32346,80,ICMP
35218.153398904105,5394.639785249722,3.3102468056457206,11024,443,TCP
5445.118140119798,4677.127769179047,0.47184765635851994,21125,443,TCP
865663.6764419039,3681.4565374019726,5.172741732354266,15697,3306,TCP
1934.4741229495567,4911.687086878243,30.070040821157907,30198,80,ICMP
6157.928313307863,33169.285354758504,23.799331044954474,31304,8080,UDP
768.8662691311334,1204.1192066718909,15.765726667828948,29005,3306,UDP
457.8863369509577,720.8317955893777,26.599890502787034,30764,3306,TCP
1575.8960106619643,4802.951593070683,56.51375234974515,59595,443,TCP
4505.99637685079,3205.890585463168,25.111296574126165,62899,80,UDP
2064.926648692447,8295.812945591359,41.668241574987945,32630,443,TCP
6236.929749068121,2246.309741865992,19.14908597212484,63149,8080,UDP
1117.881861061602,15501.082280161838,1.352820919591342,53826,80,ICMP
9189.851320722311,13138.227544927358,15.977765099483811,53920,8080,TCP
6135.429316071296,1661.5274768448596,58.73232275887184,15581,443,UDP
3278.980769815003,1077.8056154365242,27.468120956933358,29307,8080,ICMP
2085.4335315590833,9058.867695534007,136.6611533671061,23737,8080,ICMP
2266.598446491328,270.1980321414967,29.85741453334962,7246,22,TCP
38538.57352782737,2450.44681790241,49.149371013992976,5868,8080,TCP
898.1612718727688,16071.608157417266,54.194748492402226,41177,3306,ICMP
3426.602258021251,1094.197529285289,23.08776382020229,28166,443,ICMP
1943.4011807991064,6891.053371439083,19.394497841610587,54292,22,TCP
6321.034287825532,4986.491476506566,29.989820689338707,44162,8080,UDP
3542.4531370806267,26604.393348963335,52.756356512516625,6518,3306,UDP
1189.6497714900818,3649.8594009521626,41.74385010318787,55094,22,ICMP
2305.441681287356,13565.967299763184,39.455599230013405,33027,443,ICMP
3207.7836859525705,18874.233479553328,5.250588259744247,37531,3306,UDP
1719.1668071889662,1307.1850820009142,15.61264200003762,63321,3306,ICMP
1609.5561045315526,5197.558112702541,36.41013057765552,42315,22,TCP
4394.573410962723,5957.992522886487,19.587240221005946,2461,80,TCP
1484.7360446439973,5135.876391866141,75.88129981615309,12459,443,ICMP
6668.512125159417,13965.95061845746,1.78466230642017,28528,22,TCP
6954.319931229536,407.74476204430476,11.158545700565845,3424,8080,ICMP
5420.414639825965,2156.1088347107325,1.5538673257799234,11827,8080,TCP
365.14173990217904,1691.2776884995692,10.515157763942224,52096,3306,UDP
5670.337508613773,703.4889011331855,0.4001294570471187,10235,80,TCP
6771.689939325863,2073.4436623666884,123.01974852999206,11799,22,ICMP
5610.1982572871375,3044.8018355201452,30.029117151298966,33581,8080,UDP
1400.245601182116,3135.55355889125,26.23166260630117,6905,3306,TCP
1604.6809551801618,249.33373204259357,27.062516541250346,17518,80,UDP
828.6795365079911,5821.917292423298,11.76071890618998,61507,3306,TCP
1771.8175634573088,1383.577498788825,5.931197124311687,41760,80,ICMP
105.69878204893905,4230.326224354656,32.62879206453753,63181,80,TCP
836.7819805785673,5224.459943218977,4.423304770421162,23877,3306,UDP
6575.284222735782,7234.625824903786,1.602639864812798,40779,8080,UDP
19978.781355924195,3814.4678526021926,13.086048307038453,16413,3306,TCP
2817.6904619431743,689.5688697579219,27.89832167227978,25450,8080,TCP
1420.1985080041395,94.81884852072726,2.9475359973747763,12291,8080,UDP
198878.1269536178,3990.3895998332896,55.250234902254874,54777,22,UDP
1806.7111146745647,12690.464946754448,24.85585373156313,12897,22,TCP
648.1680161180066,27998.42802696446,80.41432266251232,14230,22,TCP
5416.62567435805,10499.921981753005,1.333032794725956,30944,443,ICMP
6879.244267587218,3543.5094370517318,0.46894327721283635,28724,3306,ICMP
7539.045653214036,21399.938266659163,9.111266437592617,21270,443,UDP
26549.413978798886,19179.723663840134,1.003077709929623,24055,8080,ICMP
10533.301173883818,11623.55009385478,48.38576794115925,20056,8080,TCP
8224.32920247791,19736.198721900797,39.49874552903782,59903,22,ICMP
5217.457409883018,10994.433579226434,15.986996694428795,38464,8080,ICMP
2962.620994803955,5958.845502793886,5.9906458178296935,60359,80,TCP
222.26778135923598,12394.314274102611,24.168525920883397,64684,443,UDP
4783.01393410099,7955.986924887293,24.518622882812963,43013,22,ICMP
3106.9154374647155,18346.245581521518,48.04438149936658,54288,443,UDP
7539.806875547955,1966.1319642137082,6.289290751411847,8167,3306,TCP
10140.007905781233,1200.2237853029903,41.222516324406186,62271,3306,UDP
1660.344073486351,4874.593442337101,35.079160825529584,32130,8080,ICMP
248.75360601863068,965.3129398489438,17.091332513894965,47048,443,TCP
4624.111175613869,4990.550949364295,1.579105821856421,16850,80,UDP
12767.096998970237,9075.74904826382,3.7295168981102043,7184,8080,UDP
4105.35798304228,15248.465473626173,3.360192557365789,58110,3306,UDP
10654.714429221882,27995.6944515507,23.643652426273984,30018,22,TCP
3765.0737266991628,3033.1426177672342,57.77351029744993,9952,3306,TCP
6569.970238219545,3855.5250169692613,32.553449369558145,43502,3306,ICMP
1443.9149734190257,3501.486593635919,8.132108050573446,4527,22,ICMP
672.0862541934417,373.50043328653635,28.52647923694657,30084,443,UDP
712.4041637014606,1386.3071796595548,34.3785446402811,46467,80,ICMP
588.4115903754379,851.2602530654029,121.31270200581248,47499,8080,ICMP
273.3655945676477,6586.920869625224,1.580718289096503,30265,22,UDP
8582.96595747241,4481.579461076666,24.866763682680656,24890,80,UDP
2243.0749938346357,22469.02539203097,66.58667527203286,55107,80,ICMP
1930.6563133254735,226.73715107210447,1.6757435435525212,12941,3306,UDP
4674.796672956687,2548.2386944565337,8.80759014247867,5838,443,ICMP
936.337277340884,4041.355545981393,28.891606974320567,11142,443,ICMP
9591.46220925823,7283.903672623625,15.192563078130197,52702,8080,TCP
6459.780197202247,2098.02821434354,21.22964885564978,31337,443,UDP
1646.2109800035282,2995.620448877046,20.564776054137603,3432,3306,ICMP
1002.9590718621804,2131.8116401261836,34.15553241578727,11911,8080,ICMP
265509.8046342733,9206.840749112045,12.965547123484495,2834,443,UDP
1524.1543490338256,2105.4995527184965,36.64586798843036,53563,443,ICMP
378.6934944617797,9939.390957714895,45.35373531885085,30783,3306,UDP
2517.7989922605793,9987.641328600992,27.192596314059696,5414,22,UDP
11259.392823505585,6081.837088301313,10.854418663112423,15299,3306,TCP
5044.249686801719,2922.106470850178,64.73540047458376,40792,443,TCP
15412.056128060809,938.342357009213,1.0030797279469061,39325,80,ICMP
10232.161625665685,4525.557095746055,20.513952718007246,53877,3306,ICMP
5589.460494207993,8983.141700469478,41.62058762383636,2689,443,ICMP
9253.001975499212,76144.95760318569,14.256375564487277,5501,3306,ICMP
3634.6534178344436,2984.908908618017,11.990704978666486,3307,8080,TCP
5339.246280004832,1147.738530609834,3.8549606629701856,26445,443,UDP
1901.0944307747366,726.7164892262283,17.50888816654743,47933,8080,UDP
1095.2706587274747,17743.332773263202,80.32090528270686,43795,80,ICMP
10724.586919615733,5491.50121735375,0.9683814701461927,14581,443,UDP
701.5148098512954,2824.494012604058,1.7825961936974744,43423,443,ICMP
939.494975052415,4689.898838609917,68.92085191087205,43370,8080,ICMP
1551.2086878784473,3253.1452337714736,152.69616452381533,13370,22,ICMP
4837.496900868796,4429.554421457497,28.632669800574927,49402,8080,ICMP
